kabupaten_kota,provinsi
SIMEULUE,ACEH
ACEH SINGKIL,ACEH
ACEH SELATAN,ACEH
ACEH TENGGARA,ACEH
ACEH TIMUR,ACEH
ACEH TENGAH,ACEH
ACEH BARAT,ACEH
ACEH BESAR,ACEH
PIDIE,ACEH
BIREUEN,ACEH
ACEH UTARA,ACEH
ACEH BARAT DAYA,ACEH
GAYO LUES,ACEH
ACEH TAMIANG,ACEH
NAGAN RAYA,ACEH
ACEH JAYA,ACEH
BENER MERIAH,ACEH
PIDIE JAYA,ACEH
BANDA ACEH,ACEH
SABANG,ACEH
LANGSA,ACEH
LHOKSEUMAWE,ACEH
SUBULUSSALAM,ACEH
NIAS,SUMATERA UTARA
MANDAILING NATAL,SUMATERA UTARA
TAPANULI SELATAN,SUMATERA UTARA
TAPANULI TENGAH,SUMATERA UTARA
TAPANULI UTARA,SUMATERA UTARA
TOBA SAMOSIR,SUMATERA UTARA
LABUHAN BATU,SUMATERA UTARA
ASAHAN,SUMATERA UTARA
SIMALUNGUN,SUMATERA UTARA
DAIRI,SUMATERA UTARA
KARO,SUMATERA UTARA
DELI SERDANG,SUMATERA UTARA
LANGKAT,SUMATERA UTARA
NIAS SELATAN,SUMATERA UTARA
HUMBANG HASUNDUTAN,SUMATERA UTARA
PAKPAK BHARAT,SUMATERA UTARA
SAMOSIR,SUMATERA UTARA
SERDANG BEDAGAI,SUMATERA UTARA
BATU BARA,SUMATERA UTARA
PADANG LAWAS UTARA,SUMATERA UTARA
PADANG LAWAS,SUMATERA UTARA
LABUHAN BATU SELATAN,SUMATERA UTARA
LABUHAN BATU UTARA,SUMATERA UTARA
NIAS UTARA,SUMATERA UTARA
NIAS BARAT,SUMATERA UTARA
SIBOLGA,SUMATERA UTARA
TANJUNG BALAI,SUMATERA UTARA
PEMATANG SIANTAR,SUMATERA UTARA
TEBING TINGGI,SUMATERA UTARA
MEDAN,SUMATERA UTARA
BINJAI,SUMATERA UTARA
PADANGSIDIMPUAN,SUMATERA UTARA
GUNUNGSITOLI,SUMATERA UTARA
KEPULAUAN MENTAWAI,SUMATERA BARAT
PESISIR SELATAN,SUMATERA BARAT
SOLOK,SUMATERA BARAT
SIJUNJUNG,SUMATERA BARAT
TANAH DATAR,SUMATERA BARAT
PADANG PARIAMAN,SUMATERA BARAT
AGAM,SUMATERA BARAT
LIMA PULUH KOTA,SUMATERA BARAT
PASAMAN,SUMATERA BARAT
